Crime Type,Latitude,Longitude,Date,Time,Severity,Crime Description,Victim Age,Police Station,Weather Condition,Time of Day,Incident Reported
Assault,28.848016,76.908853,2022-07-11,15:32,3,Chain snatching,20,Vasant Kunj Police Station,Rain,Afternoon,No
Murder,28.63027,76.986752,2024-04-26,23:02,3,Shoplifting,25,Dwarka Sector 10 Police Station,Cloudy,Night,No
Vandalism,28.689182,76.916199,2023-05-05,06:05,2,Domestic violence,40,Lajpat Nagar Police Station,Cloudy,Morning,No
Assault,28.608712,77.062949,2023-08-25,10:09,1,Public intoxication,29,Vasant Kunj Police Station,Cloudy,Morning,Yes
Fraud,28.461724,77.02531,2024-12-16,00:43,3,Shoplifting,18,Lajpat Nagar Police Station,Cloudy,Night,Yes
Harassment,28.71558,76.904051,2024-10-17,11:02,4,Street robbery,39,Rohini North Police Station,Cloudy,Morning,No
Burglary,28.660782,76.837584,2022-08-17,07:01,2,Domestic violence,35,Vasant Kunj Police Station,Rain,Morning,No
Burglary,28.640093,76.976538,2023-07-11,13:13,2,Cyber fraud,45,Dwarka Sector 10 Police Station,Rain,Afternoon,No
Theft,28.874015,76.913723,2023-06-29,09:37,5,Domestic violence,40,Vasant Kunj Police Station,Haze,Morning,No
Murder,28.581397,76.817643,2021-08-14,16:58,4,Shoplifting,19,Lajpat Nagar Police Station,Haze,Afternoon,No
Assault,28.844124,76.943773,2024-10-27,16:15,4,Chain snatching,36,Connaught Place Police Station,Haze,Afternoon,Yes
Murder,28.690204,77.029189,2021-03-19,23:21,5,Chain snatching,49,Dwarka Sector 10 Police Station,Haze,Night,Yes
Assault,28.691913,77.290549,2022-01-27,17:32,2,Cyber fraud,38,Dwarka Sector 10 Police Station,Fog,Evening,No
Assault,28.61307,77.153341,2021-05-21,08:13,4,Shoplifting,58,Connaught Place Police Station,Rain,Morning,No
Murder,28.484253,76.928158,2023-12-20,00:22,3,Chain snatching,27,Kashmere Gate Police Station,Clear,Night,Yes
Theft,28.768398,77.113751,2023-08-08,06:17,1,Stolen bike,41,Kashmere Gate Police Station,Rain,Morning,Yes
Robbery,28.850853,77.141031,2024-05-17,14:10,1,Public intoxication,40,Rohini North Police Station,Haze,Afternoon,No
Vandalism,28.469359,76.946459,2023-05-19,18:59,5,Shoplifting,51,Kashmere Gate Police Station,Cloudy,Evening,Yes
Vandalism,28.48484,76.884891,2021-04-08,02:09,4,Cyber fraud,49,Kashmere Gate Police Station,Fog,Night,Yes
Harassment,28.417676,77.181418,2024-09-10,14:11,5,Chain snatching,20,Lajpat Nagar Police Station,Clear,Afternoon,No
Theft,28.873223,76.878149,2024-09-04,05:18,3,Chain snatching,55,Vasant Kunj Police Station,Clear,Morning,No
Murder,28.759063,76.813483,2020-07-29,21:46,3,Street robbery,53,Rohini North Police Station,Haze,Night,No
Fraud,28.853947,77.163447,2020-08-16,05:31,1,Shoplifting,39,Vasant Kunj Police Station,Rain,Morning,No
Fraud,28.776615,77.294042,2021-04-11,12:27,5,Stolen bike,26,Lajpat Nagar Police Station,Haze,Afternoon,Yes
Theft,28.670475,76.901118,2021-10-12,14:24,2,Cyber fraud,18,Dwarka Sector 10 Police Station,Clear,Afternoon,Yes
Fraud,28.603735,77.253986,2023-09-22,16:06,3,Stolen bike,35,Rohini North Police Station,Rain,Afternoon,No
Theft,28.573557,77.259225,2022-02-16,18:25,1,Street robbery,26,Kashmere Gate Police Station,Clear,Evening,Yes
Burglary,28.451119,76.92931,2024-05-09,08:23,2,Car theft,54,Lajpat Nagar Police Station,Clear,Morning,No
Vandalism,28.668116,76.922193,2022-01-02,18:49,3,Shoplifting,35,Dwarka Sector 10 Police Station,Cloudy,Evening,No
Assault,28.495689,76.837444,2021-01-12,22:38,5,Stolen bike,51,Dwarka Sector 10 Police Station,Cloudy,Night,No
Robbery,28.652546,77.277185,2022-12-26,00:38,3,Street robbery,56,Lajpat Nagar Police Station,Cloudy,Night,Yes
Fraud,28.41479,76.970425,2023-11-22,14:31,1,Car theft,20,Rohini North Police Station,Clear,Afternoon,No
Burglary,28.469419,76.999468,2023-03-06,07:38,4,Stolen bike,50,Kashmere Gate Police Station,Fog,Morning,No
Theft,28.836577,77.28379,2024-10-12,12:46,5,Chain snatching,34,Connaught Place Police Station,Rain,Afternoon,No
Fraud,28.85553,77.193515,2020-12-31,09:18,2,Stolen bike,30,Vasant Kunj Police Station,Haze,Morning,Yes
Assault,28.501264,77.255332,2024-01-15,01:00,1,Cyber fraud,19,Kashmere Gate Police Station,Rain,Night,Yes
Murder,28.734866,77.210542,2022-11-11,21:32,1,Chain snatching,57,Vasant Kunj Police Station,Clear,Night,No
Vandalism,28.835696,76.977108,2024-06-28,14:45,2,Stolen bike,23,Connaught Place Police Station,Rain,Afternoon,No
Burglary,28.74258,77.086221,2020-08-26,22:36,1,Domestic violence,18,Kashmere Gate Police Station,Rain,Night,No
Harassment,28.52745,77.125399,2023-02-15,03:14,1,Car theft,44,Lajpat Nagar Police Station,Fog,Night,Yes
Theft,28.409102,76.901225,2021-11-25,18:30,1,Cyber fraud,43,Rohini North Police Station,Rain,Evening,Yes
Vandalism,28.654884,76.981858,2023-10-20,11:40,5,Shoplifting,45,Kashmere Gate Police Station,Fog,Morning,No
Murder,28.570251,76.822877,2021-08-07,20:45,1,Cyber fraud,48,Vasant Kunj Police Station,Haze,Night,Yes
Fraud,28.575609,77.200951,2021-05-17,19:55,4,Cyber fraud,35,Connaught Place Police Station,Rain,Evening,No
Theft,28.630486,76.851372,2020-11-30,13:14,5,Stolen bike,24,Dwarka Sector 10 Police Station,Cloudy,Afternoon,Yes
Harassment,28.883409,77.059096,2022-02-14,07:39,4,Domestic violence,29,Kashmere Gate Police Station,Rain,Morning,Yes
Harassment,28.439316,77.015077,2021-05-05,12:13,1,Chain snatching,29,Lajpat Nagar Police Station,Clear,Afternoon,No
Robbery,28.848483,76.913251,2024-07-18,01:22,4,Stolen bike,23,Vasant Kunj Police Station,Cloudy,Night,No
Harassment,28.406636,77.133346,2023-08-01,20:37,5,Cyber fraud,31,Dwarka Sector 10 Police Station,Cloudy,Night,Yes
Burglary,28.567734,77.138606,2021-08-23,04:26,3,Chain snatching,52,Lajpat Nagar Police Station,Cloudy,Night,Yes
Robbery,28.461314,76.940655,2020-05-17,15:31,4,Street robbery,30,Vasant Kunj Police Station,Fog,Afternoon,No
Burglary,28.634774,77.040639,2023-02-21,15:56,5,Car theft,49,Vasant Kunj Police Station,Fog,Afternoon,No
Assault,28.794962,76.88704,2023-11-18,09:52,4,Cyber fraud,54,Lajpat Nagar Police Station,Rain,Morning,Yes
Theft,28.856466,77.250808,2023-02-14,02:00,4,Car theft,58,Kashmere Gate Police Station,Clear,Night,No
Theft,28.821348,76.807852,2022-08-01,12:02,4,Stolen bike,26,Dwarka Sector 10 Police Station,Clear,Afternoon,Yes
Burglary,28.520816,77.022079,2021-08-24,22:19,5,Stolen bike,21,Lajpat Nagar Police Station,Rain,Night,No
Robbery,28.495016,76.857854,2021-06-21,20:55,4,Public intoxication,30,Vasant Kunj Police Station,Cloudy,Night,No
Assault,28.553922,76.883369,2022-12-08,09:22,4,Cyber fraud,27,Connaught Place Police Station,Cloudy,Morning,Yes
Murder,28.605102,77.204087,2023-04-22,13:54,3,Street robbery,31,Vasant Kunj Police Station,Fog,Afternoon,Yes
Vandalism,28.886675,77.241169,2020-04-09,15:08,3,Shoplifting,22,Kashmere Gate Police Station,Rain,Afternoon,Yes
Murder,28.761702,77.25143,2024-06-27,23:57,3,Cyber fraud,58,Vasant Kunj Police Station,Haze,Night,No
Burglary,28.635623,77.129501,2021-10-21,16:50,2,Domestic violence,47,Vasant Kunj Police Station,Rain,Afternoon,No
Murder,28.863038,76.991948,2020-08-06,14:42,4,Domestic violence,26,Dwarka Sector 10 Police Station,Haze,Afternoon,No
Assault,28.785654,76.841111,2020-08-15,08:54,1,Car theft,40,Connaught Place Police Station,Haze,Morning,Yes
Harassment,28.750412,77.294514,2022-12-08,02:45,2,Cyber fraud,56,Rohini North Police Station,Rain,Night,No
Theft,28.7231,77.25765,2024-04-02,16:13,4,Car theft,35,Rohini North Police Station,Rain,Afternoon,No
Assault,28.806587,77.281404,2020-03-27,22:37,3,Domestic violence,37,Connaught Place Police Station,Clear,Night,Yes
Harassment,28.755535,77.154507,2024-02-17,03:27,1,Car theft,49,Dwarka Sector 10 Police Station,Haze,Night,Yes
Robbery,28.616522,76.804871,2024-09-06,00:18,2,Public intoxication,48,Connaught Place Police Station,Clear,Night,No
Robbery,28.622808,77.027919,2024-08-31,04:59,3,Public intoxication,34,Kashmere Gate Police Station,Cloudy,Night,Yes
Fraud,28.651118,76.912732,2020-03-20,01:22,1,Stolen bike,20,Kashmere Gate Police Station,Clear,Night,No
Vandalism,28.598092,76.96154,2021-08-05,12:52,3,Shoplifting,27,Rohini North Police Station,Fog,Afternoon,Yes
Fraud,28.452977,77.271594,2023-07-02,11:49,1,Domestic violence,47,Vasant Kunj Police Station,Rain,Morning,Yes
Fraud,28.872928,77.094166,2020-07-22,05:08,1,Stolen bike,30,Lajpat Nagar Police Station,Rain,Morning,Yes
Murder,28.79808,77.0341,2021-10-15,23:05,1,Car theft,50,Connaught Place Police Station,Clear,Night,Yes
Fraud,28.492258,77.226812,2022-05-22,04:14,2,Domestic violence,34,Kashmere Gate Police Station,Rain,Night,No
Murder,28.862081,76.888361,2021-10-13,23:14,2,Street robbery,47,Lajpat Nagar Police Station,Rain,Night,Yes
Theft,28.760402,76.992496,2023-02-13,18:40,4,Shoplifting,42,Rohini North Police Station,Haze,Evening,Yes
Theft,28.714292,76.950941,2021-01-18,00:01,4,Street robbery,53,Kashmere Gate Police Station,Rain,Night,No
Vandalism,28.710247,77.283959,2021-06-12,04:00,4,Street robbery,32,Dwarka Sector 10 Police Station,Rain,Night,Yes
Assault,28.799252,77.292686,2021-03-18,15:59,2,Car theft,24,Kashmere Gate Police Station,Clear,Afternoon,Yes
Fraud,28.675711,76.825283,2023-06-17,11:25,5,Stolen bike,50,Kashmere Gate Police Station,Clear,Morning,No
Harassment,28.643099,77.185454,2020-01-08,04:21,4,Public intoxication,18,Lajpat Nagar Police Station,Rain,Night,Yes
Fraud,28.400304,77.116534,2024-04-16,14:20,4,Chain snatching,50,Dwarka Sector 10 Police Station,Fog,Afternoon,Yes
Burglary,28.728652,77.018264,2021-09-10,07:00,4,Car theft,30,Lajpat Nagar Police Station,Haze,Morning,Yes
Theft,28.599821,77.223982,2024-03-28,06:56,4,Cyber fraud,25,Dwarka Sector 10 Police Station,Fog,Morning,Yes
Murder,28.554347,77.034362,2022-07-26,02:33,1,Chain snatching,55,Vasant Kunj Police Station,Fog,Night,No
Theft,28.648558,76.889642,2023-02-22,16:07,5,Public intoxication,19,Rohini North Police Station,Clear,Afternoon,Yes
Fraud,28.420137,77.091025,2022-05-28,13:32,3,Domestic violence,28,Rohini North Police Station,Cloudy,Afternoon,No
Assault,28.473775,76.868496,2021-12-02,21:13,5,Domestic violence,22,Lajpat Nagar Police Station,Fog,Night,Yes
Theft,28.53494,77.049573,2020-06-17,21:30,2,Public intoxication,46,Rohini North Police Station,Haze,Night,No
Robbery,28.725172,77.089189,2020-03-14,03:52,4,Street robbery,47,Rohini North Police Station,Fog,Night,Yes
Burglary,28.67671,77.159885,2023-12-11,00:31,5,Domestic violence,27,Vasant Kunj Police Station,Rain,Night,No
Vandalism,28.406319,76.816586,2023-09-16,14:32,2,Street robbery,59,Connaught Place Police Station,Haze,Afternoon,No
Assault,28.751019,76.801233,2021-03-31,18:19,5,Chain snatching,59,Connaught Place Police Station,Cloudy,Evening,Yes
Assault,28.583379,77.259871,2020-03-03,02:40,5,Car theft,53,Vasant Kunj Police Station,Haze,Night,No
Fraud,28.750387,77.226295,2021-04-03,09:18,1,Public intoxication,24,Rohini North Police Station,Rain,Morning,No
Assault,28.79958,77.139869,2022-03-04,02:40,3,Car theft,37,Dwarka Sector 10 Police Station,Haze,Night,No
Burglary,28.600758,76.846503,2022-06-19,14:35,3,Car theft,52,Dwarka Sector 10 Police Station,Cloudy,Afternoon,No
Theft,28.650976,77.102479,2022-05-08,18:54,3,Shoplifting,26,Connaught Place Police Station,Haze,Evening,No
Fraud,28.501335,77.002585,2020-10-24,20:51,5,Shoplifting,60,Rohini North Police Station,Fog,Night,Yes
Theft,28.546842,77.204411,2020-12-12,19:05,2,Cyber fraud,46,Rohini North Police Station,Cloudy,Evening,No
Murder,28.823911,77.271659,2021-05-23,23:19,1,Shoplifting,43,Vasant Kunj Police Station,Rain,Night,No
Robbery,28.500967,77.10209,2020-07-08,18:12,2,Cyber fraud,46,Lajpat Nagar Police Station,Fog,Evening,Yes
Murder,28.665067,76.911581,2020-02-18,23:04,3,Street robbery,37,Lajpat Nagar Police Station,Fog,Night,No
Robbery,28.742613,77.085013,2021-08-29,22:31,2,Shoplifting,20,Vasant Kunj Police Station,Fog,Night,Yes
Fraud,28.550805,77.211319,2022-01-26,19:34,3,Car theft,48,Lajpat Nagar Police Station,Clear,Evening,No
Assault,28.879968,76.814852,2024-09-03,15:17,5,Car theft,28,Connaught Place Police Station,Clear,Afternoon,Yes
Robbery,28.423705,77.293128,2024-01-25,02:00,4,Stolen bike,32,Connaught Place Police Station,Clear,Night,No
Burglary,28.743774,76.83522,2022-09-07,09:07,2,Public intoxication,33,Dwarka Sector 10 Police Station,Fog,Morning,Yes
Harassment,28.530374,76.852565,2022-01-03,16:04,3,Shoplifting,32,Kashmere Gate Police Station,Clear,Afternoon,Yes
Assault,28.443156,77.174997,2022-01-20,13:20,5,Cyber fraud,33,Rohini North Police Station,Haze,Afternoon,Yes
Assault,28.603651,77.052518,2020-03-05,01:58,3,Stolen bike,42,Connaught Place Police Station,Cloudy,Night,Yes
Vandalism,28.47767,77.121006,2021-09-22,21:11,5,Car theft,34,Rohini North Police Station,Fog,Night,Yes
Theft,28.873026,77.273631,2024-03-25,01:46,5,Cyber fraud,56,Lajpat Nagar Police Station,Rain,Night,No
Assault,28.555892,77.057688,2020-08-08,21:52,4,Cyber fraud,59,Connaught Place Police Station,Fog,Night,Yes
Burglary,28.566188,77.183357,2022-02-17,08:32,4,Domestic violence,53,Dwarka Sector 10 Police Station,Rain,Morning,Yes
Vandalism,28.74448,77.165464,2022-08-02,15:28,4,Shoplifting,31,Connaught Place Police Station,Haze,Afternoon,No
Murder,28.827465,76.94518,2023-08-22,07:57,5,Public intoxication,46,Kashmere Gate Police Station,Haze,Morning,Yes
Fraud,28.730488,77.294417,2022-08-08,10:04,4,Car theft,36,Connaught Place Police Station,Rain,Morning,No
Burglary,28.676289,77.068738,2023-02-10,13:01,4,Chain snatching,54,Kashmere Gate Police Station,Clear,Afternoon,Yes
Fraud,28.870686,76.993461,2024-04-29,06:45,1,Street robbery,54,Lajpat Nagar Police Station,Cloudy,Morning,No
Assault,28.648879,77.287906,2020-05-26,07:49,5,Stolen bike,40,Lajpat Nagar Police Station,Cloudy,Morning,Yes
Theft,28.767486,77.26313,2022-06-16,12:15,1,Cyber fraud,27,Kashmere Gate Police Station,Cloudy,Afternoon,Yes
Burglary,28.643339,76.863903,2022-08-18,14:10,1,Street robbery,19,Rohini North Police Station,Haze,Afternoon,Yes
Vandalism,28.866566,77.107156,2024-11-28,15:15,4,Chain snatching,28,Rohini North Police Station,Clear,Afternoon,Yes
Harassment,28.601429,77.031067,2022-09-10,23:55,3,Shoplifting,50,Kashmere Gate Police Station,Rain,Night,Yes
Vandalism,28.536859,77.275573,2023-07-02,01:26,3,Cyber fraud,28,Rohini North Police Station,Clear,Night,Yes
Harassment,28.437991,76.99053,2022-03-17,04:25,1,Car theft,47,Vasant Kunj Police Station,Rain,Night,Yes
Murder,28.784891,76.918768,2023-04-09,19:32,3,Street robbery,49,Rohini North Police Station,Clear,Evening,No
Murder,28.806227,76.972171,2021-01-04,07:41,1,Cyber fraud,29,Lajpat Nagar Police Station,Fog,Morning,No
Theft,28.407882,76.981534,2020-11-19,15:29,4,Public intoxication,19,Kashmere Gate Police Station,Clear,Afternoon,No
Burglary,28.41405,77.158775,2020-09-01,19:05,5,Domestic violence,28,Lajpat Nagar Police Station,Fog,Evening,No
Fraud,28.580816,77.152949,2021-05-14,06:20,1,Car theft,51,Connaught Place Police Station,Fog,Morning,Yes
Vandalism,28.462027,77.14361,2020-04-05,10:16,2,Public intoxication,33,Rohini North Police Station,Clear,Morning,No
Murder,28.465158,76.918972,2020-03-14,12:44,4,Cyber fraud,35,Kashmere Gate Police Station,Clear,Afternoon,No
Assault,28.540453,77.079928,2020-03-07,10:39,1,Shoplifting,22,Kashmere Gate Police Station,Cloudy,Morning,Yes
Assault,28.875517,77.207906,2021-07-13,18:07,3,Stolen bike,60,Rohini North Police Station,Rain,Evening,Yes
Robbery,28.495155,77.286215,2023-07-29,19:37,3,Chain snatching,22,Connaught Place Police Station,Haze,Evening,No
Robbery,28.606057,77.085874,2024-01-09,02:44,1,Public intoxication,21,Kashmere Gate Police Station,Cloudy,Night,Yes
Theft,28.411527,77.271795,2020-05-04,13:39,5,Public intoxication,23,Vasant Kunj Police Station,Haze,Afternoon,No
Burglary,28.475149,76.923744,2024-09-08,21:40,3,Car theft,55,Dwarka Sector 10 Police Station,Clear,Night,Yes
Vandalism,28.473848,76.948651,2023-01-09,12:32,5,Shoplifting,48,Connaught Place Police Station,Rain,Afternoon,Yes
Burglary,28.419643,77.157065,2021-12-01,17:55,1,Domestic violence,37,Vasant Kunj Police Station,Fog,Evening,Yes
Burglary,28.557361,77.064723,2022-04-16,21:39,4,Stolen bike,35,Lajpat Nagar Police Station,Haze,Night,No
Vandalism,28.507281,76.986938,2022-06-04,18:41,3,Stolen bike,33,Dwarka Sector 10 Police Station,Haze,Evening,No
Vandalism,28.718337,77.034178,2023-02-16,02:13,3,Cyber fraud,58,Dwarka Sector 10 Police Station,Rain,Night,Yes
Harassment,28.737057,76.809634,2020-07-13,22:47,4,Cyber fraud,49,Rohini North Police Station,Clear,Night,No
Robbery,28.606274,77.159659,2024-12-28,22:15,5,Stolen bike,57,Vasant Kunj Police Station,Rain,Night,Yes
Murder,28.420972,77.230484,2023-11-08,19:21,2,Domestic violence,58,Kashmere Gate Police Station,Fog,Evening,Yes
Vandalism,28.693949,76.892064,2020-06-15,11:46,3,Street robbery,21,Vasant Kunj Police Station,Cloudy,Morning,Yes
Harassment,28.8291,76.833377,2021-02-13,15:20,5,Domestic violence,32,Dwarka Sector 10 Police Station,Cloudy,Afternoon,No
Harassment,28.457631,77.019135,2023-09-10,17:46,4,Public intoxication,35,Lajpat Nagar Police Station,Cloudy,Evening,No
Assault,28.767946,77.01683,2023-04-10,18:01,2,Domestic violence,46,Connaught Place Police Station,Haze,Evening,Yes
Assault,28.605888,76.831671,2023-08-07,22:18,5,Domestic violence,57,Dwarka Sector 10 Police Station,Cloudy,Night,Yes
Vandalism,28.574579,77.157189,2020-10-19,10:38,4,Domestic violence,46,Rohini North Police Station,Haze,Morning,Yes
Theft,28.594387,77.106593,2021-09-12,11:48,5,Domestic violence,38,Rohini North Police Station,Cloudy,Morning,Yes
Assault,28.453422,77.269704,2020-03-04,17:59,4,Shoplifting,58,Lajpat Nagar Police Station,Fog,Evening,No
Harassment,28.688298,77.267541,2022-02-08,15:18,5,Chain snatching,46,Kashmere Gate Police Station,Fog,Afternoon,Yes
Assault,28.74793,77.284793,2020-07-04,12:47,1,Domestic violence,52,Lajpat Nagar Police Station,Cloudy,Afternoon,No
Vandalism,28.822715,77.098902,2020-05-20,23:53,2,Chain snatching,39,Vasant Kunj Police Station,Cloudy,Night,Yes
Vandalism,28.51398,77.160756,2020-06-06,23:50,2,Shoplifting,43,Kashmere Gate Police Station,Cloudy,Night,No
Theft,28.845147,77.118417,2022-09-01,03:22,5,Chain snatching,25,Lajpat Nagar Police Station,Rain,Night,Yes
Harassment,28.540839,77.20206,2022-07-19,19:50,4,Domestic violence,31,Vasant Kunj Police Station,Cloudy,Evening,Yes
