id,text,location,date,sentiment
1,Increased patrolling has reduced crime rates in Karol Bagh.,Chandni Chowk,2023-01-10,Positive
2,Women feel unsafe walking alone at night in Rajouri Garden.,Vasant Kunj,2023-09-02,Negative
3,Traffic congestion continues to be an issue across Delhi.,Saket,2023-06-08,Neutral
4,Police response to complaints in Rohini remains slow.,Hauz Khas,2023-05-18,Negative
5,Public transport usage among women has remained stable this year.,Hauz Khas,2023-06-09,Neutral
6,The metro is the preferred mode of transport for women in Delhi.,Karol Bagh,2023-06-16,Neutral
7,Police response to complaints in Rohini remains slow.,Karol Bagh,2023-12-21,Negative
8,The metro is the preferred mode of transport for women in Delhi.,Vasant Kunj,2023-04-19,Neutral
9,New mobile app helps women report harassment instantly.,Rohini,2023-05-20,Positive
10,NGOs held an awareness campaign in Connaught Place.,Dwarka,2023-07-02,Neutral
11,Recent survey shows rising fear among women in Delhi.,Connaught Place,2023-12-12,Negative
12,More street lights installed in Dwarka to improve safety.,Nehru Place,2023-11-05,Positive
13,Public transport usage among women has remained stable this year.,Chandni Chowk,2023-06-08,Neutral
14,Traffic congestion continues to be an issue across Delhi.,Saket,2023-08-09,Neutral
15,New mobile app helps women report harassment instantly.,Mayur Vihar,2023-07-17,Positive
16,Public transport usage among women has remained stable this year.,Hauz Khas,2023-04-02,Neutral
17,Traffic congestion continues to be an issue across Delhi.,Chandni Chowk,2023-08-05,Neutral
18,Public transport usage among women has remained stable this year.,Chandni Chowk,2023-11-10,Neutral
19,Women feel unsafe walking alone at night in Rajouri Garden.,Connaught Place,2023-09-22,Negative
20,Self-defense workshops for women are gaining popularity in Hauz Khas.,Lajpat Nagar,2023-06-15,Positive
21,Recent survey shows rising fear among women in Delhi.,Rohini,2023-06-13,Negative
22,More street lights installed in Dwarka to improve safety.,Nehru Place,2023-04-07,Positive
23,Police response to complaints in Rohini remains slow.,Chandni Chowk,2023-07-19,Negative
24,Recent survey shows rising fear among women in Delhi.,Hauz Khas,2023-04-04,Negative
25,Traffic congestion continues to be an issue across Delhi.,Karol Bagh,2023-06-10,Neutral
26,New mobile app helps women report harassment instantly.,Dwarka,2023-11-28,Positive
27,New mobile app helps women report harassment instantly.,Lajpat Nagar,2023-11-28,Positive
28,Increased patrolling has reduced crime rates in Karol Bagh.,Dwarka,2023-10-15,Positive
29,Lack of proper street lighting makes Chandni Chowk unsafe.,Rohini,2023-07-11,Negative
30,Increased patrolling has reduced crime rates in Karol Bagh.,Vasant Kunj,2023-08-08,Positive
31,Public transport usage among women has remained stable this year.,Saket,2023-10-06,Neutral
32,NGOs held an awareness campaign in Connaught Place.,Nehru Place,2023-11-29,Neutral
33,More street lights installed in Dwarka to improve safety.,Dwarka,2023-02-23,Positive
34,Police response to complaints in Rohini remains slow.,Rohini,2023-01-15,Negative
35,NGOs held an awareness campaign in Connaught Place.,Saket,2023-03-25,Neutral
36,New mobile app helps women report harassment instantly.,Saket,2023-09-04,Positive
37,Another case of harassment reported near Saket metro station.,Rohini,2023-03-14,Negative
38,Public transport usage among women has remained stable this year.,Nehru Place,2023-03-09,Neutral
39,Women safety measures were discussed in the Delhi Assembly.,Greater Kailash,2023-05-28,Neutral
40,Police response to complaints in Rohini remains slow.,Hauz Khas,2023-05-05,Negative
41,Increased patrolling has reduced crime rates in Karol Bagh.,Pitampura,2023-11-09,Positive
42,Self-defense workshops for women are gaining popularity in Hauz Khas.,Nehru Place,2023-11-07,Positive
43,Another case of harassment reported near Saket metro station.,Karol Bagh,2023-05-12,Negative
44,Increased patrolling has reduced crime rates in Karol Bagh.,Hauz Khas,2023-10-27,Positive
45,Self-defense workshops for women are gaining popularity in Hauz Khas.,Hauz Khas,2023-09-29,Positive
46,Traffic congestion continues to be an issue across Delhi.,Dwarka,2023-10-04,Neutral
47,Public transport usage among women has remained stable this year.,Vasant Kunj,2023-11-07,Neutral
48,Women safety measures were discussed in the Delhi Assembly.,Mayur Vihar,2023-11-14,Neutral
49,Women safety measures were discussed in the Delhi Assembly.,Greater Kailash,2023-06-28,Neutral
50,Police response to complaints in Rohini remains slow.,Kalkaji,2023-09-18,Negative
51,Self-defense workshops for women are gaining popularity in Hauz Khas.,Nehru Place,2023-06-20,Positive
52,Women safety measures were discussed in the Delhi Assembly.,Vasant Kunj,2023-09-19,Neutral
53,The metro is the preferred mode of transport for women in Delhi.,Lajpat Nagar,2023-12-05,Neutral
54,Traffic congestion continues to be an issue across Delhi.,Connaught Place,2023-09-13,Neutral
55,Self-defense workshops for women are gaining popularity in Hauz Khas.,Rajouri Garden,2023-01-06,Positive
56,Women safety measures were discussed in the Delhi Assembly.,Mayur Vihar,2023-09-08,Neutral
57,Recent survey shows rising fear among women in Delhi.,Kalkaji,2023-04-22,Negative
58,More street lights installed in Dwarka to improve safety.,Dwarka,2023-01-19,Positive
