id,latitude,longitude,location,date,crime_severity
1,28.65437,77.231,Chandni Chowk,2023-07-18,Low
2,28.520754,77.165191,Vasant Kunj,2023-04-22,Low
3,28.645025,77.123874,Rajouri Garden,2023-02-04,Low
4,28.538931,77.260675,Kalkaji,2023-10-16,Medium
5,28.600101,77.309424,Mayur Vihar,2023-12-26,Medium
6,28.521138,77.165064,Vasant Kunj,2023-09-25,High
7,28.600513,77.308939,Mayur Vihar,2023-03-18,High
8,28.632089,77.218559,Connaught Place,2023-12-04,Low
9,28.600428,77.309635,Mayur Vihar,2023-10-04,Medium
10,28.565501,77.242802,Lajpat Nagar,2023-05-13,Medium
11,28.614683,77.039742,Dwarka,2023-02-22,Low
12,28.54757,77.250954,Nehru Place,2023-05-17,Low
13,28.566017,77.243882,Lajpat Nagar,2023-11-25,Medium
14,28.657007,77.229973,Chandni Chowk,2023-09-11,Low
15,28.63241,77.219633,Connaught Place,2023-05-12,Medium
16,28.655562,77.228206,Chandni Chowk,2023-05-13,Low
17,28.522394,77.208059,Saket,2023-07-28,Low
18,28.568501,77.243238,Lajpat Nagar,2023-02-17,Medium
19,28.65788,77.231421,Chandni Chowk,2023-07-26,Medium
20,28.61229,77.038299,Dwarka,2023-04-02,Medium
21,28.545707,77.234077,Greater Kailash,2023-09-06,Medium
22,28.538298,77.259179,Kalkaji,2023-09-20,Low
23,28.519008,77.163674,Vasant Kunj,2023-08-05,Low
24,28.52114,77.207405,Saket,2023-05-05,High
25,28.521939,77.206064,Saket,2023-04-01,Low
26,28.61369,77.040529,Dwarka,2023-11-10,Low
27,28.737004,77.065736,Rohini,2023-07-16,Medium
28,28.565773,77.244496,Lajpat Nagar,2023-12-22,High
29,28.645182,77.124923,Rajouri Garden,2023-06-07,Medium
30,28.522103,77.165153,Vasant Kunj,2023-02-22,Medium
31,28.631864,77.219638,Connaught Place,2023-06-24,Low
32,28.634044,77.218762,Connaught Place,2023-09-23,High
33,28.522455,77.207892,Saket,2023-06-17,Low
34,28.644965,77.123336,Rajouri Garden,2023-08-07,Low
35,28.655521,77.228555,Chandni Chowk,2023-11-11,Medium
36,28.550702,77.20007,Hauz Khas,2023-01-22,Medium
37,28.549995,77.201161,Hauz Khas,2023-03-18,High
38,28.524442,77.204651,Saket,2023-09-11,Medium
39,28.73826,77.067471,Rohini,2023-04-25,Low
40,28.51954,77.166111,Vasant Kunj,2023-03-28,Medium
41,28.645602,77.123312,Rajouri Garden,2023-08-03,Low
42,28.548256,77.236063,Greater Kailash,2023-01-19,Low
43,28.698306,77.140262,Pitampura,2023-07-31,Medium
44,28.600112,77.308997,Mayur Vihar,2023-12-05,Low
45,28.736072,77.067492,Rohini,2023-05-29,High
46,28.545349,77.234929,Greater Kailash,2023-08-06,Medium
47,28.567258,77.243965,Lajpat Nagar,2023-06-23,Medium
48,28.63254,77.22085,Connaught Place,2023-09-16,Medium
49,28.537466,77.259253,Kalkaji,2023-07-31,Medium
50,28.650695,77.191098,Karol Bagh,2023-11-03,Low
51,28.56772,77.245403,Lajpat Nagar,2023-12-29,Medium
52,28.611641,77.040312,Dwarka,2023-06-30,Medium
53,28.6518,77.190223,Karol Bagh,2023-09-05,Low
54,28.612307,77.037575,Dwarka,2023-08-12,Medium
55,28.6556,77.23132,Chandni Chowk,2023-01-05,Medium
56,28.656421,77.229114,Chandni Chowk,2023-06-06,Low
57,28.657368,77.229558,Chandni Chowk,2023-04-04,High
58,28.634157,77.219067,Connaught Place,2023-05-28,Low
59,28.600865,77.305887,Mayur Vihar,2023-04-23,High
60,28.739287,77.06778,Rohini,2023-12-20,Low
61,28.697532,77.142537,Pitampura,2023-03-04,Medium
62,28.524475,77.205637,Saket,2023-08-02,Low
63,28.737642,77.065475,Rohini,2023-01-21,High
64,28.568035,77.242728,Lajpat Nagar,2023-10-17,Low
65,28.698047,77.143384,Pitampura,2023-07-21,Low
66,28.697951,77.14047,Pitampura,2023-10-07,Medium
67,28.698862,77.141566,Pitampura,2023-08-02,Low
68,28.550672,77.249439,Nehru Place,2023-03-15,High
69,28.697286,77.140528,Pitampura,2023-07-24,Low
70,28.524192,77.208538,Saket,2023-01-29,Medium
71,28.645496,77.125688,Rajouri Garden,2023-03-19,Medium
72,28.735569,77.06839,Rohini,2023-12-22,Medium
73,28.548124,77.250442,Nehru Place,2023-08-14,Medium
74,28.566597,77.245475,Lajpat Nagar,2023-02-11,Medium
75,28.698258,77.141904,Pitampura,2023-07-26,Low
76,28.700583,77.142858,Pitampura,2023-07-10,High
77,28.631558,77.220251,Connaught Place,2023-08-25,Low
78,28.697717,77.141675,Pitampura,2023-03-27,Low
79,28.565256,77.245016,Lajpat Nagar,2023-04-09,Low
80,28.545232,77.235432,Greater Kailash,2023-12-21,High
81,28.538794,77.259465,Kalkaji,2023-03-22,Medium
82,28.549495,77.252056,Nehru Place,2023-08-02,Medium
83,28.655037,77.230528,Chandni Chowk,2023-07-09,High
84,28.551077,77.253075,Nehru Place,2023-07-21,Medium
85,28.550316,77.251456,Nehru Place,2023-10-16,High
86,28.697285,77.140606,Pitampura,2023-11-22,Low
87,28.657467,77.230328,Chandni Chowk,2023-06-04,Low
88,28.600706,77.308576,Mayur Vihar,2023-05-14,Low
89,28.521896,77.20748,Saket,2023-10-01,High
90,28.645035,77.121905,Rajouri Garden,2023-07-24,Medium
91,28.519557,77.163403,Vasant Kunj,2023-10-02,Low
92,28.655572,77.2301,Chandni Chowk,2023-11-08,High
93,28.537362,77.261086,Kalkaji,2023-05-07,Low
94,28.551185,77.201008,Hauz Khas,2023-02-11,Medium
95,28.651433,77.189698,Karol Bagh,2023-12-26,Low
96,28.521937,77.208286,Saket,2023-04-23,High
97,28.537404,77.257274,Kalkaji,2023-05-19,Low
98,28.631223,77.218779,Connaught Place,2023-01-08,Low
99,28.645193,77.124182,Rajouri Garden,2023-08-19,Low
100,28.601943,77.305881,Mayur Vihar,2023-08-27,Low
101,28.654349,77.230079,Chandni Chowk,2023-12-28,Low
102,28.56564,77.242184,Lajpat Nagar,2023-12-05,High
103,28.613149,77.037616,Dwarka,2023-07-22,Low
104,28.700296,77.139737,Pitampura,2023-04-15,High
105,28.602807,77.308444,Mayur Vihar,2023-08-09,Low
106,28.698495,77.141347,Pitampura,2023-09-11,Medium
107,28.656042,77.228724,Chandni Chowk,2023-07-04,Low
108,28.519201,77.16646,Vasant Kunj,2023-03-11,Low
109,28.655061,77.228606,Chandni Chowk,2023-10-27,Low
110,28.652881,77.191496,Karol Bagh,2023-11-07,Low
111,28.548545,77.198108,Hauz Khas,2023-01-15,Low
112,28.634055,77.218235,Connaught Place,2023-08-19,Low
113,28.649843,77.189536,Karol Bagh,2023-02-27,High
114,28.521569,77.163695,Vasant Kunj,2023-08-29,Medium
115,28.65321,77.188958,Karol Bagh,2023-01-07,Medium
116,28.697196,77.143332,Pitampura,2023-06-27,High
117,28.548633,77.249183,Nehru Place,2023-07-31,High
118,28.633584,77.218817,Connaught Place,2023-12-15,Medium
119,28.656014,77.231333,Chandni Chowk,2023-04-03,Medium
120,28.602971,77.308526,Mayur Vihar,2023-04-25,Low
121,28.652044,77.190977,Karol Bagh,2023-01-28,Low
122,28.603646,77.306264,Mayur Vihar,2023-12-06,Medium
123,28.737354,77.06822,Rohini,2023-07-07,Low
124,28.567279,77.242499,Lajpat Nagar,2023-03-13,Low
125,28.546239,77.234621,Greater Kailash,2023-10-03,Low
126,28.546962,77.235236,Greater Kailash,2023-07-21,Low
127,28.634507,77.219161,Connaught Place,2023-02-19,Medium
128,28.64477,77.124047,Rajouri Garden,2023-05-14,High
129,28.545597,77.234061,Greater Kailash,2023-07-16,Low
130,28.603638,77.309599,Mayur Vihar,2023-08-09,Low
131,28.567957,77.24577,Lajpat Nagar,2023-06-17,Medium
132,28.545667,77.235117,Greater Kailash,2023-09-20,Medium
133,28.614058,77.037219,Dwarka,2023-06-26,Medium
134,28.52078,77.166389,Vasant Kunj,2023-12-15,Medium
135,28.631019,77.219369,Connaught Place,2023-09-07,Low
136,28.614844,77.038778,Dwarka,2023-07-13,Medium
137,28.738158,77.065554,Rohini,2023-10-13,High
138,28.54671,77.235986,Greater Kailash,2023-04-03,Low
139,28.698921,77.141094,Pitampura,2023-03-18,Low
140,28.521804,77.205253,Saket,2023-05-27,Low
141,28.546405,77.236477,Greater Kailash,2023-09-02,Low
142,28.547752,77.199802,Hauz Khas,2023-11-06,Low
143,28.611668,77.038715,Dwarka,2023-04-27,High
144,28.650345,77.191418,Karol Bagh,2023-12-28,Low
145,28.547484,77.236986,Greater Kailash,2023-12-20,Medium
146,28.657571,77.228813,Chandni Chowk,2023-12-11,Low
147,28.549512,77.198342,Hauz Khas,2023-03-09,Low
148,28.643829,77.124841,Rajouri Garden,2023-03-03,High
149,28.536899,77.258289,Kalkaji,2023-06-03,Medium
150,28.566906,77.242495,Lajpat Nagar,2023-04-29,Low
151,28.568396,77.243142,Lajpat Nagar,2023-04-02,Medium
152,28.697234,77.14233,Pitampura,2023-09-25,Low
153,28.566516,77.245222,Lajpat Nagar,2023-12-26,Medium
