Crime Type,Area,Date,Time,Severity,Crime Description,Victim Age,Police Station,Weather Condition,Time of Day,Incident Reported
Assault,Khan Market,2023-09-27,00:33:02,Medium,Bad door stand detail own strong decision.,39,Khan Market PS,Clear,Night,CCTV
Stalking,Connaught Place,2024-04-17,11:16:22,Low,Between instead author lawyer born.,62,Connaught Place PS,Foggy,Afternoon,Police
Stalking,Mayur Vihar,2024-12-25,04:51:08,High,Loss sound enough answer paper nor decision.,63,Mayur Vihar PS,Cloudy,Evening,Police
Kidnapping,Laxmi Nagar,2024-03-13,09:52:32,High,Ago edge draw yard impact behavior political happy again coach.,66,Laxmi Nagar PS,Cloudy,Morning,Citizen
Theft,Hauz Khas,2024-08-05,07:30:49,High,Evidence development specific enough standard decision music sing.,34,Hauz Khas PS,Foggy,Evening,CCTV
Theft,Dwarka,2023-04-06,22:55:36,Low,Carry into boy add shoulder necessary month thing born statement.,11,Dwarka PS,Clear,Night,Police
Theft,Okhla,2024-12-21,04:15:31,Medium,As street measure be parent will reach office back Congress.,57,Okhla PS,Clear,Morning,Police
Assault,Laxmi Nagar,2023-08-08,00:37:12,Medium,Democrat decade enough give movement relate growth everything argue.,61,Laxmi Nagar PS,Clear,Night,CCTV
Kidnapping,Saket,2024-08-30,06:44:56,Medium,Quickly cell development pick pressure summer newspaper activity stand ok.,32,Saket PS,Clear,Evening,Police
Burglary,Chandni Chowk,2024-12-19,08:17:56,High,Wear baby run American oil prepare authority production.,53,Chandni Chowk PS,Cloudy,Night,CCTV
Harassment,Rajouri Garden,2024-04-26,20:13:16,Medium,Foreign whether budget popular car parent.,34,Rajouri Garden PS,Foggy,Night,CCTV
Kidnapping,Lajpat Nagar,2023-11-06,16:33:29,Low,Move pull generation beyond about happen responsibility.,22,Lajpat Nagar PS,Foggy,Afternoon,CCTV
Assault,Hauz Khas,2024-07-11,13:47:02,High,Above whose believe southern member against should point.,44,Hauz Khas PS,Foggy,Morning,Police
Burglary,Saket,2024-03-13,17:01:57,High,Think cup health financial newspaper method fast eat.,58,Saket PS,Clear,Evening,CCTV
Burglary,Karol Bagh,2024-09-29,03:53:12,Low,Range minute her training main six pay experience run media.,54,Karol Bagh PS,Clear,Evening,Citizen
Burglary,Hauz Khas,2024-12-23,22:06:00,Low,Plan practice act step response hot bit boy.,32,Hauz Khas PS,Cloudy,Evening,Police
Theft,Dwarka,2023-07-26,03:25:55,High,Ground nothing fine general traditional end discover significant book.,18,Dwarka PS,Foggy,Morning,CCTV
